post_code,post_name,post_url,product_name,size,image_name
C16-3,바디피트 귀애랑 생리대 중형 20p x 2팩 + 2p x 3팩 + 오버나이트 12p,https://www.coupang.com/vp/products/13466654?itemId=56246113&vendorItemId=4741792401&q=%EC%8F%98%ED%94%BC%EA%B7%80%EC%95%A0%EB%9E%91%EC%98%A4%EB%B2%84%EB%82%98%EC%9D%B4%ED%8A%B8&itemsCount=36&searchId=a3c93435b79a403da213a5459d71c8f5&rank=3&isAddedCart=,,,C16-3.jpg
C17-1,바디피트 볼록맞춤 대형 생리대 날개형,https://www.coupang.com/vp/products/157062538?itemId=452010972&vendorItemId=5246736660&q=%EC%8F%98%ED%94%BC%EA%B7%80%EC%95%A0%EB%9E%91%ED%8C%AC%ED%8B%B0%EB%9D%BC%EC%9D%B4%EB%84%88%EB%A1%B1&itemsCount=36&searchId=b31ed5c2680242529dc4a597d727d255&rank=1&isAddedCart=,,,C17-1.jpg
C17-2,바디피트 귀애랑 생리대 대형 18P x 4팩,https://www.coupang.com/vp/products/169135994?itemId=484025163&vendorItemId=4218820019&q=%EC%8F%98%ED%94%BC%EA%B7%80%EC%95%A0%EB%9E%91%ED%8C%AC%ED%8B%B0%EB%9D%BC%EC%9D%B4%EB%84%88%EB%A1%B1&itemsCount=36&searchId=b31ed5c2680242529dc4a597d727d255&rank=2&isAddedCart=,,,C17-2.jpg
C17-3,쏘피 귀애랑 롱 팬티라이너,https://www.coupang.com/vp/products/2298293?itemId=6230314&vendorItemId=4845797118&q=%EC%8F%98%ED%94%BC%EA%B7%80%EC%95%A0%EB%9E%91%ED%8C%AC%ED%8B%B0%EB%9D%BC%EC%9D%B4%EB%84%88%EB%A1%B1&itemsCount=36&searchId=b31ed5c2680242529dc4a597d727d255&rank=3&isAddedCart=,,,C17-3.jpg
C18-1,LG 쏘피내몸에순한면내추럴컬러대형16Px3팩/무표백생리대,https://www.coupang.com/vp/products/1575644136?itemId=2694154294&vendorItemId=70763831787&q=%EC%8F%98%ED%94%BC%EB%82%B4%EB%AA%B8%EC%97%90%EC%88%9C%ED%95%9C%EB%A9%B4%EB%82%B4%EC%B6%94%EB%9F%B4%EC%BB%AC%EB%9F%AC%EB%8C%80%ED%98%95&itemsCount=2&searchId=b86f8a00ef6b4aa8b2c864807b84ae43&rank=1&isAddedCart=,,,C18-1.jpg
C19-2,LG 쏘피내몸에순한면내추럴컬러슈퍼롱10P/무표백생리대,https://www.coupang.com/vp/products/1567222521?itemId=2679748517&vendorItemId=70670258151&q=%EC%8F%98%ED%94%BC%EB%82%B4%EB%AA%B8%EC%97%90%EC%88%9C%ED%95%9C%EB%A9%B4%EB%82%B4%EC%B6%94%EB%9F%B4%EC%BB%AC%EB%9F%AC%EC%8A%88%ED%8D%BC%EB%A1%B1&itemsCount=3&searchId=ac0144f5a6ca44609d229c128c0e07e4&rank=2&isAddedCart=,,,C19-2.jpg
C20-1,쏘피 바디피트 볼록맞춤 대형 생리대 날개형 16p x 4팩 + 유기농 울트라슬림 중형 2p + 한결 안심숙면 슈퍼롱 2p,https://www.coupang.com/vp/products/162115302?itemId=465675769&vendorItemId=5125102040&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EA%B7%80%EC%95%A0%EB%9E%91%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EB%82%A0%EA%B0%9C%ED%98%95%EB%8C%80%ED%98%95&itemsCount=24&searchId=b25aa6fbd8664cefa661f4bc79e4d11a&rank=1&isAddedCart=,,,C20-1.jpg
C20-2,바디피트 귀애랑 울트라슬림 날개형 대형 36p 2개,https://www.coupang.com/vp/products/323547101?itemId=1035937944&vendorItemId=5489130809&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EA%B7%80%EC%95%A0%EB%9E%91%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EB%82%A0%EA%B0%9C%ED%98%95%EB%8C%80%ED%98%95&itemsCount=24&searchId=b25aa6fbd8664cefa661f4bc79e4d11a&rank=2&isAddedCart=,,,C20-2.jpg
C20-3,바디피트 귀애랑 울트라슬림 날개형 중형 40p 3개,https://www.coupang.com/vp/products/323543565?itemId=1035928871&vendorItemId=5489117318&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EA%B7%80%EC%95%A0%EB%9E%91%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EB%82%A0%EA%B0%9C%ED%98%95%EB%8C%80%ED%98%95&itemsCount=24&searchId=b25aa6fbd8664cefa661f4bc79e4d11a&rank=3&isAddedCart=,,,C20-3.jpg
C21-1,안심생리대 쏘피 바디피트 네이처 울트라슬림 날개형 대형 에이,https://www.coupang.com/vp/products/1140141011?itemId=2110998216&vendorItemId=70713908330&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EA%B7%80%EC%95%A0%EB%9E%91%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EB%82%A0%EA%B0%9C%ED%98%95%EC%98%A4%EB%B2%84%EB%82%98%EC%9D%B4%ED%8A%B8%EC%97%90%EC%9D%B4&itemsCount=7&searchId=8c45505ee6eb43ca807abe5a4a7be4a9&rank=1&isAddedCart=,,,C21-1.jpg
